passes,shots,average_pass_length,ppda,avg_pass_angle_deep,avg_pass_angle_mid,avg_pass_angle_final,team,xg_per_shot,carries_per_pass
537,11,20.786733724767224,3.128654970760234,-0.0421551846151474,-0.046114487258833,-0.0230941506164389,Argentina,0.09842741543636363,0.7690875232774674
659,19,21.512905763125943,2.3386243386243386,-0.0349949761191839,-0.1287866292782394,1.816388797969673,Colombia,0.052009385031578946,0.7996965098634294
378,19,21.140958304497357,2.108843537414966,-0.1070437407107379,0.0339430791291791,-0.6295535268448872,Canada,0.32659523831578946,0.7592592592592593
365,16,23.869265308219173,1.3854166666666667,-0.1248959882779989,0.0326623532999529,0.1526376363777121,Uruguay,0.2906516789375,0.7945205479452054
460,11,21.81268041,1.2526881720430108,-0.147674119115778,-0.0932065164213656,-0.5664187627407713,Uruguay,0.06859668763636363,0.7913043478260869
304,11,26.584008681907893,2.340579710144928,-0.0146672407903803,-0.0176986610953183,-1.976642749579899,Colombia,0.10654187790909092,0.7072368421052632
506,11,21.61125513794466,2.36144578313253,0.128540522884323,-0.1333956559031358,-1.278038361656992,Argentina,0.15965773358181815,0.782608695652174
477,9,19.83087544318658,3.355555555555556,0.065028443047453,-0.086093370798437,-0.2459497770396427,Canada,0.07524301533333334,0.7966457023060797
413,7,22.96866833607748,2.203125,0.0407976629271892,0.3085387625735797,-1.2426340946033037,Colombia,0.31148635771428573,0.738498789346247
370,14,22.66591721351351,2.6564885496183206,0.1729478468325199,0.1197026242874332,0.3746409950180823,Panama,0.04356797028571429,0.8297297297297297
282,17,24.340504783687948,1.6278026905829597,0.1419030729681479,-0.0398174136821111,-0.2921557121762962,Uruguay,0.26749037070588233,0.7836879432624113
425,11,21.06402657341177,1.4013157894736843,-0.0166329677397802,-0.0210153825926223,-0.2349751233671257,Brazil,0.34635225027272726,0.76
666,12,19.44223559024024,1.5819672131147542,0.0481485207574861,0.0942535376093839,-1.0794550341450977,Argentina,0.17548140108333335,0.8333333333333334
251,7,24.000845898007967,3.8157894736842106,-0.0636748900058826,0.1796570993732031,1.6165216867658692,Peru,0.023803193385714287,0.7091633466135459
450,20,22.61195481977778,1.9929577464788728,-0.345463917374549,-0.0137049703867318,0.4241994191653996,Uruguay,0.06807203715000001,0.8133333333333334
379,10,23.42700466121372,2.484848484848485,0.1282549544563324,-0.247394000716049,-1.2976935501283806,Panama,0.0540888124,0.7546174142480211
479,21,24.5311488697286,1.893491124260355,-0.250184677179196,0.125230223195597,0.1922008134801268,Venezuela,0.2677646902714286,0.6617954070981211
382,22,22.73615225157068,1.881720430107527,0.0007611442031188,-0.3833493817325134,-0.1395253534771134,Canada,0.2751633637727273,0.7277486910994765
401,13,22.132870559351623,3.188679245283019,-0.119217973013965,-0.1000800388867733,1.4115063163694064,Argentina,0.3674413746153846,0.8553615960099751
393,13,22.759626193257,2.417322834645669,0.2575894378458056,-0.8053076440055363,0.9046173905388276,Ecuador,0.34788673969230766,0.8269720101781171
477,9,20.295160724737944,1.822368421052632,0.0408534661746919,0.014923730391013,-1.4546843722223186,Canada,0.07772153844444445,0.7631027253668763
364,8,25.76895241648352,3.146551724137931,0.0581830367127767,-0.2645450437294552,0.2301899291508125,Chile,0.056751162875,0.6923076923076923
