passes,shots,average_pass_length,ppda,avg_pass_angle_deep,avg_pass_angle_mid,avg_pass_angle_final,xg_per_shot,carries_per_pass,cluster,playstyle
537,11,20.786733724767224,3.128654970760234,-0.0421551846151474,-0.046114487258833,-0.0230941506164389,0.0984274154363636,0.7690875232774674,1,Vertical
659,19,21.512905763125943,2.3386243386243386,-0.0349949761191839,-0.1287866292782394,1.816388797969673,0.0520093850315789,0.7996965098634294,4,Tiki-Taka
378,19,21.14095830449736,2.108843537414966,-0.1070437407107379,0.0339430791291791,-0.6295535268448872,0.3265952383157894,0.7592592592592593,0,Clinical Transition Play
365,16,23.869265308219173,1.3854166666666667,-0.1248959882779989,0.0326623532999529,0.1526376363777121,0.2906516789375,0.7945205479452054,0,Clinical Transition Play
460,11,21.81268041,1.2526881720430108,-0.147674119115778,-0.0932065164213656,-0.5664187627407713,0.0685966876363636,0.7913043478260869,1,Vertical
304,11,26.584008681907893,2.340579710144928,-0.0146672407903803,-0.0176986610953183,-1.976642749579899,0.1065418779090909,0.7072368421052632,3,Haramball
506,11,21.61125513794466,2.36144578313253,0.128540522884323,-0.1333956559031358,-1.278038361656992,0.1596577335818181,0.782608695652174,2,Possessional Play
477,9,19.83087544318658,3.355555555555556,0.065028443047453,-0.086093370798437,-0.2459497770396427,0.0752430153333333,0.7966457023060797,2,Possessional Play
413,7,22.96866833607748,2.203125,0.0407976629271892,0.3085387625735797,-1.2426340946033037,0.3114863577142857,0.738498789346247,0,Clinical Transition Play
370,14,22.66591721351351,2.6564885496183206,0.1729478468325199,0.1197026242874332,0.3746409950180823,0.0435679702857142,0.8297297297297297,2,Possessional Play
282,17,24.340504783687948,1.6278026905829597,0.1419030729681479,-0.0398174136821111,-0.2921557121762962,0.2674903707058823,0.7836879432624113,0,Clinical Transition Play
425,11,21.06402657341177,1.4013157894736843,-0.0166329677397802,-0.0210153825926223,-0.2349751233671257,0.3463522502727272,0.76,0,Clinical Transition Play
666,12,19.44223559024024,1.5819672131147542,0.0481485207574861,0.0942535376093839,-1.0794550341450977,0.1754814010833333,0.8333333333333334,2,Possessional Play
251,7,24.000845898007967,3.8157894736842106,-0.0636748900058826,0.1796570993732031,1.6165216867658692,0.0238031933857142,0.7091633466135459,3,Haramball
450,20,22.61195481977778,1.9929577464788728,-0.345463917374549,-0.0137049703867318,0.4241994191653996,0.06807203715,0.8133333333333334,1,Vertical
379,10,23.42700466121372,2.484848484848485,0.1282549544563324,-0.247394000716049,-1.2976935501283806,0.0540888124,0.7546174142480211,3,Haramball
479,21,24.5311488697286,1.893491124260355,-0.250184677179196,0.125230223195597,0.1922008134801268,0.2677646902714286,0.6617954070981211,0,Clinical Transition Play
382,22,22.73615225157068,1.881720430107527,0.0007611442031188,-0.3833493817325134,-0.1395253534771134,0.2751633637727273,0.7277486910994765,0,Clinical Transition Play
401,13,22.132870559351623,3.188679245283019,-0.119217973013965,-0.1000800388867733,1.4115063163694064,0.3674413746153846,0.8553615960099751,0,Clinical Transition Play
393,13,22.759626193257,2.417322834645669,0.2575894378458056,-0.8053076440055363,0.9046173905388276,0.3478867396923076,0.8269720101781171,0,Clinical Transition Play
477,9,20.295160724737944,1.822368421052632,0.0408534661746919,0.014923730391013,-1.4546843722223186,0.0777215384444444,0.7631027253668763,2,Possessional Play
364,8,25.76895241648352,3.146551724137931,0.0581830367127767,-0.2645450437294552,0.2301899291508125,0.056751162875,0.6923076923076923,3,Haramball
566,18,21.109891281519435,2.1007194244604315,0.0016207733933979,0.0244672384246907,2.5679326587549416,0.1612397051666666,0.7579505300353356,1,Vertical
335,5,24.82368155044776,2.268292682926829,-0.172533849059527,0.4360645106125129,2.268211834291892,0.033059595,0.7223880597014926,3,Haramball
596,13,20.770695688087248,2.033333333333333,0.1164956432053333,-0.0296281456575775,-0.8254070132866744,0.0562140456153846,0.8489932885906041,2,Possessional Play
224,6,29.36884485848214,3.2595419847328246,0.0981976761620305,0.1245479423653059,-0.8321039661860787,0.1523797565,0.6651785714285714,3,Haramball
304,2,25.281749501644736,2.567073170731707,-0.06339256854498,0.0673844119751388,0.4751425503762218,0.136027275,0.7006578947368421,3,Haramball
569,17,20.85974276326889,2.0072992700729926,-0.1159477046905085,-0.3559536523296919,1.2488729148718885,0.0847095708235294,0.8295254833040422,1,Vertical
447,7,21.34203945615213,1.865284974093264,0.158058665372019,-0.1092410367691196,-1.281776706542463,0.0436882314285714,0.8210290827740492,2,Possessional Play
449,13,20.544835191314032,2.9384615384615387,0.182076090521559,0.2930273215073494,-0.2458823104199587,0.1156156166538461,0.7928730512249443,2,Possessional Play
377,8,23.71683641591512,2.4690265486725664,0.0258723106391303,0.1003853468595459,-0.4327006587678077,0.058874618875,0.5994694960212201,3,Haramball
352,12,23.68816487642045,1.532967032967033,-0.0630536386240189,-0.2813628965732859,0.4028050581867211,0.10596009485,0.7215909090909091,3,Haramball
480,7,21.303207288958333,1.8324607329842928,-0.0768010803906008,0.4096422777905029,-1.8972966783086664,0.112552085,0.7729166666666667,1,Vertical
458,13,24.38012781004367,3.632478632478633,0.0950353945172168,0.1296250752830334,1.032273733732037,0.1031199777923076,0.777292576419214,3,Haramball
454,20,21.21234945991189,1.8201438848920863,-0.0473515000914761,-0.2514613817479512,-0.0119984301031544,0.04688132935,0.76431718061674,1,Vertical
319,9,25.780144162068964,1.764102564102564,-0.0655281738344446,-0.266027254664427,-1.761104873666843,0.033983251,0.768025078369906,3,Haramball
392,8,22.483575575663263,2.3916666666666666,0.1767867982065006,-0.0526304549678227,-0.2020429291064821,0.083448105375,0.7857142857142857,3,Haramball
436,17,20.27557513004588,2.9035087719298245,-0.1331864674129387,-0.3926928568259745,1.0176787430291037,0.1008476462352941,0.7889908256880734,1,Vertical
421,15,21.109895531591448,2.2748538011695905,0.0349529202967627,-0.6328210839225119,0.1661634262579456,0.04611172946,0.8479809976247031,1,Vertical
500,17,19.2358851634,2.393103448275862,0.0125356939458924,-0.3586653608587373,-1.2147009541674796,0.2204523440588235,0.85,0,Clinical Transition Play
